Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Luca Cavenaghi,,0009-0008-0787-9456,1.0,https://openalex.org/A5098921627,,0,https://openalex.org/I66752286
Nicolas Calmi,,0009-0000-3682-6558,1.0,https://openalex.org/A5107041479,,0,https://openalex.org/I66752286
Marco Savi,,0000-0002-8193-0597,17.0,https://openalex.org/A5084595174,,0,https://openalex.org/I66752286
Emanuele Petriglia,,0009-0004-6579-4689,1.0,https://openalex.org/A5107041281,,0,https://openalex.org/I66752286
Giacomo Pracucci,,0009-0006-6821-3987,1.0,https://openalex.org/A5107041282,,0,https://openalex.org/I66752286
Marco Lattuada,,0000-0003-0062-6049,10.0,https://openalex.org/A5026892177,,0,https://openalex.org/I4210117802
Danilo Ardagna,,0000-0003-4224-927X,34.0,https://openalex.org/A5039059621,,0,https://openalex.org/I93860229
Stefano Fiorini,,0000-0001-5432-7584,5.0,https://openalex.org/A5012481141,,0,https://openalex.org/I66752286
Abubakari Alidu,,0009-0000-9251-919X,0.0,https://openalex.org/A5116352474,,0,
Dmitry S. Kulyabov,,0000-0002-0877-7063,9.0,https://openalex.org/A5009706296,,0,https://openalex.org/I32699454
Elisabetta Di Nitto,,0000-0003-3422-5171,37.0,https://openalex.org/A5060968298,,0,https://openalex.org/I93860229
Alessandro Tundo,,0000-0001-8840-8948,6.0,https://openalex.org/A5003358645,,0,https://openalex.org/I145847075
Giulia Ceccarelli,,0000-0002-6511-1217,2.0,https://openalex.org/A5072724190,,0,https://openalex.org/I4210103417
Andrea Gorrini,,0000-0002-8086-9149,16.0,https://openalex.org/A5079555440,,0,https://openalex.org/I4210103417
Paola Bonizzoni,,0000-0001-7289-4988,26.0,https://openalex.org/A5038691764,,0,https://openalex.org/I66752286
Yuri Pirola,,0000-0002-8479-7592,14.0,https://openalex.org/A5079127373,,0,https://openalex.org/I66752286
Marco Previtali,,0000-0003-3040-9539,11.0,https://openalex.org/A5103118099,,0,https://openalex.org/I66752286
Raffaella Rizzi,,0000-0001-9730-7516,14.0,https://openalex.org/A5086249420,,0,https://openalex.org/I66752286
Murray Patterson,,0000-0002-4329-0234,18.0,https://openalex.org/A5026228482,,0,https://openalex.org/I181565077
Simone Ciccolella,,0000-0002-6469-4887,10.0,https://openalex.org/A5048411377,,0,https://openalex.org/I66752286
Luca Denti,,0000-0001-8786-2276,6.0,https://openalex.org/A5030595155,,0,https://openalex.org/I74788687
Davide Cozzi,,0000-0003-2439-0608,2.0,https://openalex.org/A5021585705,,0,https://openalex.org/I66752286
Stephen Njuguna Kuria,,0009-0002-6989-9117,2.0,https://openalex.org/A5016249483,,0,https://openalex.org/I279922783
Jorge Avila Cartes,,0000-0003-3425-2823,2.0,https://openalex.org/A5085269310,,0,https://openalex.org/I66752286
Santosh Anand,,0000-0003-2287-0229,20.0,https://openalex.org/A5090885184,,0,https://openalex.org/I173956350
Xavier Didelot,,0000-0003-1885-500X,72.0,https://openalex.org/A5042745262,,0,https://openalex.org/I39555362
Davide Cesare Monti,,0009-0004-1710-5500,1.0,https://openalex.org/A5060352558,,0,https://openalex.org/I66752286
Mauricio Soto,,0000-0001-5977-9467,15.0,https://openalex.org/A5044649325,,0,https://openalex.org/I189158943
Alexander Schönhuth,,0000-0003-3529-0856,29.0,https://openalex.org/A5001148638,,0,https://openalex.org/I20121455
Brian Riccardi,,0000-0002-4925-9529,2.0,https://openalex.org/A5063797606,,0,https://openalex.org/I129043915
Jouni Sirén,,0000-0001-5828-4139,21.0,https://openalex.org/A5066730758,,0,https://openalex.org/I185103710
Vladimir Filipović,,0000-0002-5943-8037,12.0,https://openalex.org/A5005571514,,0,https://openalex.org/I4068193
Prakash Chourasia,,0000-0002-1443-2192,5.0,https://openalex.org/A5017366862,,0,https://openalex.org/I181565077
Sarwan Ali,,0000-0001-8121-2168,14.0,https://openalex.org/A5064858842,,0,https://openalex.org/I181565077
Lars Carlsen,,0000-0002-4379-6921,36.0,https://openalex.org/A5005437772,,0,https://openalex.org/I4210125301
