id,Name,ins_id,ins_name,ins_type,ins_country,topics,hindex,orcid
https://openalex.org/A5085726622,Gianluca Gucciardi,https://openalex.org/I123338534,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,funder,IT,"['Private Equity and Venture Capital', 'Corporate Finance and Governance', 'Entrepreneurship Studies and Influences', 'Corporate Social Responsibility Reporting', 'Italy: Economic History and Contemporary Issues']",8,0000-0002-8814-5575
https://openalex.org/A5032579089,Elisa Ossola,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Financial Markets and Investment Strategies', 'Market Dynamics and Volatility', 'Sustainable Finance and Green Bonds', 'Monetary Policy and Economic Impact', 'Climate Change Policy and Economics']",9,0000-0001-5616-5785
https://openalex.org/A5055769431,Lucia Parisio,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Electric Power System Optimization', 'Auction Theory and Applications', 'Market Dynamics and Volatility', 'Smart Grid Energy Management', 'Monetary Policy and Economic Impact']",12,0000-0001-9372-9148
https://openalex.org/A5000971803,Paolo Maranzano,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Air Quality and Health Impacts', 'Air Quality Monitoring and Forecasting', 'Odor and Emission Control Technologies', 'COVID-19 impact on air quality', 'Fiscal Policy and Economic Growth']",10,0000-0002-9228-2759
https://openalex.org/A5054169119,Alessandro Fassò,https://openalex.org/I31762744,University of Gastronomic Sciences,funder,IT,"['Soil Geostatistics and Mapping', 'Air Quality and Health Impacts', 'Air Quality Monitoring and Forecasting', 'Meteorological Phenomena and Simulations', 'Spatial and Panel Data Analysis']",18,0000-0001-5132-9488
https://openalex.org/A5073752777,Manfred Mudelsee,https://openalex.org/I176453806,University of Potsdam,funder,DE,"['Geology and Paleoclimatology Research', 'Climate variability and models', 'Tree-ring climate responses', 'Hydrology and Drought Analysis', 'Pleistocene-Era Hominins and Archaeology']",55,0000-0002-2364-9561
https://openalex.org/A5030873840,Antonietta Mira,https://openalex.org/I57201433,Università della Svizzera italiana,education,CH,"['Bayesian Methods and Mixture Models', 'Markov Chains and Monte Carlo Methods', 'Statistical Methods and Inference', 'Statistical Methods and Bayesian Inference', 'Financial Risk and Volatility Modeling']",25,0000-0002-5609-7935
https://openalex.org/A5053077636,Francesca Bassi,https://openalex.org/I138689650,University of Padua,funder,IT,"['Customer Service Quality and Loyalty', 'Wine Industry and Tourism', 'Evaluation of Teaching Practices', 'Environmental Sustainability in Business', 'Consumer Market Behavior and Pricing']",14,0000-0002-3257-7029
https://openalex.org/A5024086605,Luca Rossetto,https://openalex.org/I138689650,University of Padua,funder,IT,"['Wine Industry and Tourism', 'Horticultural and Viticultural Research', 'Fermentation and Sensory Analysis', 'Economics of Agriculture and Food Markets', 'Consumer Market Behavior and Pricing']",8,0000-0001-7070-153X
https://openalex.org/A5083382050,Beata Bal‐Domańska,https://openalex.org/I305801656,Wroclaw University of Economics and Business,education,PL,"['Polish socio-economic development', 'Regional Development and Policy', 'Sustainable Development and Environmental Management', 'Economic Growth and Productivity', 'Labour Market and Migration']",8,0000-0003-0395-4259
https://openalex.org/A5019405932,Federico P. Cortese,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Bayesian Methods and Mixture Models', 'Statistical Methods and Inference', 'Market Dynamics and Volatility', 'Financial Risk and Volatility Modeling', 'Statistical Methods and Bayesian Inference']",3,0000-0002-6931-3924
https://openalex.org/A5049233665,Ewa Genge,https://openalex.org/I188922065,University of Economics in Katowice,education,PL,"['Social Issues in Poland', 'Agricultural economics and policies', 'Bayesian Methods and Mixture Models', 'Labour Market and Migration', 'Financial Reporting and Valuation Research']",5,0000-0002-8899-3697
https://openalex.org/A5049497722,Chiara Damiani,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Microbial Metabolic Engineering and Bioproduction', 'Gene Regulatory Network Analysis', 'Bioinformatics and Genomic Networks', 'Metabolomics and Mass Spectrometry Studies', 'Biofuel production and bioconversion']",15,0000-0002-5742-8302
https://openalex.org/A5038449865,Davide Maspero,https://openalex.org/I4210142206,Centro Nacional de Análisis Genómico,facility,ES,"['Microbial Metabolic Engineering and Bioproduction', 'Single-cell and spatial transcriptomics', 'Cancer Genomics and Diagnostics', 'Bioinformatics and Genomic Networks', 'Gene Regulatory Network Analysis']",14,0000-0001-8519-4331
https://openalex.org/A5037716718,Marzia Di Filippo,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Microbial Metabolic Engineering and Bioproduction', 'Bioinformatics and Genomic Networks', 'Gene Regulatory Network Analysis', 'Metabolomics and Mass Spectrometry Studies', 'Biofuel production and bioconversion']",8,0000-0002-7428-0522
https://openalex.org/A5026873442,Riccardo Colombo,https://openalex.org/I4210127540,Nerviano Medical Sciences,company,IT,"['Microtubule and mitosis dynamics', 'Microbial Metabolic Engineering and Bioproduction', 'Gene Regulatory Network Analysis', 'Bioinformatics and Genomic Networks', 'DNA Repair Mechanisms']",17,0000-0002-9499-0126
https://openalex.org/A5055916343,Alex Graudenzi,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Cancer Genomics and Diagnostics', 'Bioinformatics and Genomic Networks', 'Gene Regulatory Network Analysis', 'Evolution and Genetic Dynamics', 'Single-cell and spatial transcriptomics']",21,0000-0001-5452-1918
https://openalex.org/A5043470360,Hans V. Westerhoff,https://openalex.org/I865915315,Vrije Universiteit Amsterdam,funder,NL,"['Microbial Metabolic Engineering and Bioproduction', 'Gene Regulatory Network Analysis', 'Protein Structure and Dynamics', 'Mitochondrial Function and Pathology', 'Bioinformatics and Genomic Networks']",91,0000-0002-0443-6114
https://openalex.org/A5053427006,Lilia Alberghina,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Fungal and yeast genetics research', 'Microbial Metabolic Engineering and Bioproduction', 'Gene Regulatory Network Analysis', 'Biofuel production and bioconversion', 'Enzyme Catalysis and Immobilization']",54,0000-0003-1694-931X
https://openalex.org/A5073163964,Giancarlo Mauri,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['DNA and Biological Computing', 'Advanced biosensing and bioanalysis techniques', 'Cellular Automata and Applications', 'Gene Regulatory Network Analysis', 'semigroups and automata theory']",47,0000-0003-3520-4022
https://openalex.org/A5019798488,Michael Belingheri,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Vaccine Coverage and Hesitancy', 'SARS-CoV-2 and COVID-19 Research', 'COVID-19 and Mental Health', 'COVID-19 and healthcare impacts', 'History of Medicine Studies']",13,0000-0001-6807-6819
https://openalex.org/A5085828550,María Emilia Paladino,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['SARS-CoV-2 and COVID-19 Research', 'Vaccine Coverage and Hesitancy', 'COVID-19 and Mental Health', 'COVID-19 and healthcare impacts', 'CAR-T cell therapy research']",12,0000-0003-4351-2711
https://openalex.org/A5024223386,M Riva,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['History of Medicine Studies', 'Educational and Social Studies', 'Neurology and Historical Studies', 'Italian Social Issues and Migration', 'Vaccine Coverage and Hesitancy']",23,0000-0001-7147-3460
https://openalex.org/A5044371296,Antonella Zambon,https://openalex.org/I4210134201,IRCCS Istituto Auxologico Italiano,healthcare,IT,"['Blood Pressure and Hypertension Studies', 'Heart Rate Variability and Autonomic Control', 'Alcohol Consumption and Health Effects', 'Liver Disease Diagnosis and Treatment', 'Cardiovascular Function and Risk Factors']",45,0000-0001-6443-3858
https://openalex.org/A5037919963,Marco Antoniotti,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Cancer Genomics and Diagnostics', 'Bioinformatics and Genomic Networks', 'Gene Regulatory Network Analysis', 'Gene expression and cancer classification', 'Single-cell and spatial transcriptomics']",23,0000-0002-2823-6838
https://openalex.org/A5077954935,Giulia Agostinetto,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Environmental DNA in Biodiversity Studies', 'Genomics and Phylogenetic Studies', 'Microbial Community Ecology and Physiology', 'Gut microbiota and health', 'Insect Utilization and Effects']",8,0000-0003-0506-8816
https://openalex.org/A5106522097,Anna Sandionigi,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Environmental DNA in Biodiversity Studies', 'Genomics and Phylogenetic Studies', 'Microbial Community Ecology and Physiology', 'Gut microbiota and health', 'Identification and Quantification in Food']",21,0000-0002-5257-0027
https://openalex.org/A5069107141,Bachir Balech,https://openalex.org/I4210155236,National Research Council,nonprofit,IT,"['Environmental DNA in Biodiversity Studies', 'Genomics and Phylogenetic Studies', 'Microbial Community Ecology and Physiology', 'Identification and Quantification in Food', 'Species Distribution and Climate Change']",9,0000-0002-4419-0729
https://openalex.org/A5002013363,Antonia Bruno,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Environmental DNA in Biodiversity Studies', 'Identification and Quantification in Food', 'Microbial Community Ecology and Physiology', 'Genomics and Phylogenetic Studies', 'Gut microbiota and health']",18,0000-0002-1929-6652
https://openalex.org/A5061100918,Maurizio Casiraghi,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Identification and Quantification in Food', 'Environmental DNA in Biodiversity Studies', 'Insect symbiosis and bacterial influences', 'Parasitic Diseases Research and Treatment', 'Plant and animal studies']",41,0000-0002-2733-2094
